cid,MW
2512,451.61500000000024
2519,194.194
2520,454.6110000000003
2522,412.61400000000015
2524,416.6460000000002
2540,610.6709999999999
2541,440.46300000000014
2547,668.7169999999995
2548,305.41800000000006
2550,217.28999999999996
2551,147.19799999999998
2554,236.27399999999997
2559,376.39000000000016
2563,226.232
2564,290.794
2576,260.334
2578,214.05199999999996
2583,292.37899999999996
2585,406.482
2609,367.8140000000001
2610,363.3950000000001
2617,453.51100000000025
2622,480.57200000000023
2631,454.46600000000024
2637,426.4520000000001
2646,389.4330000000001
2650,546.5870000000002
2654,410.4330000000001
2655,383.4110000000001
2656,552.5760000000002
2658,423.38300000000027
2662,381.3790000000001
2663,379.50100000000015
2666,347.39600000000013
2675,453.45800000000014
2676,459.5580000000001
2678,388.8950000000001
2684,199.31899999999996
2708,304.217
2712,299.761
2713,505.4580000000001
2719,319.88
2720,295.729
2725,274.795
2726,318.87300000000005
2727,276.745
2732,338.77200000000005
2733,169.56699999999998
2749,207.2729999999999
2751,417.5060000000003
2754,369.4690000000001
2756,252.347
2762,262.22099999999995
2764,331.34700000000004
2767,298.03
2771,324.399
2781,343.8980000000002
2786,424.9910000000001
2789,300.745
2791,466.9770000000002
2792,478.98800000000017
2794,473.40700000000015
2800,405.9690000000001
2801,314.86
2802,315.716
2803,230.098
2806,321.829
2809,314.72800000000007
2812,344.845
2818,326.831
2826,303.35800000000006
2828,299.37
2833,399.44300000000015
2881,466.3540000000002
2883,203.28499999999997
2891,1356.3959999999993
2895,275.39500000000004
2905,291.3910000000001
2907,261.08899999999994
2909,1202.6349999999982
2913,287.4060000000001
2914,416.9450000000002
2949,337.4630000000001
2951,313.2490000000001
2955,248.307
2958,527.5260000000003
2972,139.154
2973,560.6930000000007
2978,314.46900000000005
2995,266.388
3000,376.4680000000002
3003,392.4670000000001
3007,135.20999999999995
3008,271.40400000000005
3009,182.17
3015,374.9080000000002
3016,284.74600000000004
3019,230.676
3032,295.145
3038,305.16400000000004
3040,469.3260000000002
3042,309.4940000000001
3043,236.231
3053,393.34900000000016
3056,494.5310000000003
