cid,name,pubchem_url,n_side_effects,smiles,side_effects_list
191,adenosine,https://pubchem.ncbi.nlm.nih.gov/compound/191,57,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,Nausea; Headache; Dermatitis; Rash; Vomiting; Dizziness; Asthenia; Hypersensitivity; Urticaria; Pain; Dyspnoea; Musculoskeletal discomfort; Somnolence; Hypotension; Paraesthesia; Anaphylactic shock; Hyperhidrosis; Tachycardia; Shock; Cough; Hypertension; Discomfort; Dry mouth; Chest pain; Anxiety; Angioedema; Loss of consciousness; Convulsion; Syncope; Palpitations; Back pain; Agitation; Tremor; Vision blurred; Dysgeusia; Mediastinal disorder; Nervousness; Tension; Flushing; Cardiac disorder; Arrhythmia; Tinnitus; Hypoaesthesia; Bradycardia; Acute coronary syndrome; Myocardial infarction; Pollakiuria; Abdominal discomfort; Bronchospasm; Mood swings; Cardiac arrest; Affect lability; Cerebrovascular accident; Cardiac failure; Atrial fibrillation; Nasal congestion; Injection site reaction
206,glucose,https://pubchem.ncbi.nlm.nih.gov/compound/206,22,C(C1C(C(C(C(O1)O)O)O)O)O,Headache; Dizziness; Asthenia; Body temperature increased; Pain; Feeling abnormal; Somnolence; Nervous system disorder; Tachycardia; Shock; Oedema; Hypertension; Confusional state; Loss of consciousness; Convulsion; Agitation; Hypokalaemia; Dehydration; Irritability; Thirst; Thrombophlebitis; Cardiac failure congestive
214,PGE1,https://pubchem.ncbi.nlm.nih.gov/compound/214,67,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O,Nausea; Headache; Dermatitis; Rash; Dizziness; Diarrhoea; Pruritus; Asthenia; Abdominal pain; Body temperature increased; Pain; Feeling abnormal; Dyspepsia; Hypotension; Skin disorder; Thrombocytopenia; Infection; Hyperhidrosis; Tachycardia; Shock; Cough; Oedema; Hypertension; Discomfort; Dry mouth; Loss of consciousness; Anaemia; Convulsion; Syncope; Back pain; Erythema; Muscle spasms; Nervousness; Flushing; Urethral disorder; Visual impairment; Pharyngitis; Haemorrhage; Haemoglobin; Rhinitis; Hypoaesthesia; Bradycardia; Sinusitis; Urinary tract infection; Haematuria; Acute coronary syndrome; Myocardial infarction; Hyperglycaemia; Renal failure; Upper respiratory tract infection; Bronchitis; Pollakiuria; Influenza; Hypokalaemia; Pain in extremity; Blood creatinine increased; Cardiac arrest; Lethargy; Hypoglycaemia; Injury; Swelling; Nasal congestion; Diabetes mellitus; Cardiac failure congestive; Injection site reaction; Sepsis; Ecchymosis
222,ammonia,https://pubchem.ncbi.nlm.nih.gov/compound/222,3,N,Body temperature increased; Pain; Infection
232,arginine,https://pubchem.ncbi.nlm.nih.gov/compound/232,16,C(CC(C(=O)O)N)CN=C(N)N,Nausea; Headache; Dermatitis; Rash; Vomiting; Hypersensitivity; Decreased appetite; Anaphylactic shock; Hyperhidrosis; Tachycardia; Flushing; Hypoaesthesia; Haematuria; Lethargy; Swelling; Injection site reaction
244,benzyl,https://pubchem.ncbi.nlm.nih.gov/compound/244,8,C1=CC=C(C=C1)CO,Dermatitis; Rash; Pruritus; Pain; Paraesthesia; Oedema; Erythema; Hypoaesthesia
247,betaine,https://pubchem.ncbi.nlm.nih.gov/compound/247,19,C[N+](C)(C)CC(=O)[O-],Nausea; Headache; Vomiting; Diarrhoea; Urticaria; Gastrointestinal disorder; Decreased appetite; Skin disorder; Nervous system disorder; Agitation; Malnutrition; Mental disorder; Dysgeusia; Alopecia; Urethral disorder; Urinary tract disorder; Abdominal discomfort; Irritability; Sleep disorder
271,calcium,https://pubchem.ncbi.nlm.nih.gov/compound/271,21,[Ca+2],Nausea; Vomiting; Dizziness; Diarrhoea; Pruritus; Asthenia; Hypersensitivity; Feeling abnormal; Constipation; Decreased appetite; Hypotension; Paraesthesia; Shock; Oedema; Confusional state; Loss of consciousness; Syncope; Dysgeusia; Arrhythmia; Bradycardia; Cardiac arrest
297,graphene,https://pubchem.ncbi.nlm.nih.gov/compound/297,1,C,Dehydration
298,chloramphenicol,https://pubchem.ncbi.nlm.nih.gov/compound/298,28,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],Nausea; Headache; Dermatitis; Rash; Vomiting; Diarrhoea; Pruritus; Hypersensitivity; Urticaria; Body temperature increased; Gastrointestinal disorder; Pain; Feeling abnormal; Skin disorder; Anaphylactic shock; Nervous system disorder; Thrombocytopenia; Shock; Confusional state; Angioedema; Leukopenia; Immune system disorder; Eye disorder; Neuropathy peripheral; Agranulocytosis; Stomatitis; Pancytopenia; Abdominal distension
303,bile,https://pubchem.ncbi.nlm.nih.gov/compound/303,13,CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C,Nausea; Diarrhoea; Pruritus; Gastrointestinal disorder; Feeling abnormal; Skin disorder; Nervous system disorder; Discomfort; Malaise; Ill-defined disorder; Hepatobiliary disease; Neuropathy peripheral; Jaundice
305,choline,https://pubchem.ncbi.nlm.nih.gov/compound/305,1,C[N+](C)(C)CCO,Injection site reaction
