cid,name,pubchem_url,n_side_effects,smiles,side_effects_list
191,adenosine,https://pubchem.ncbi.nlm.nih.gov/compound/191,92,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,Anaphylactic shock; Angioedema; Anxiety; Apnoea; Arrhythmia; Asthenia; Atrial fibrillation; Atrioventricular block; Back pain; Bronchospasm; Chest pain; Cough; Dermatitis; Dizziness; Dysgeusia; Dyspnoea; Grand mal convulsion; Rash; Flushing; Headache; Cardiac arrest; Cardiac disorder; Cardiac failure; Hyperhidrosis; Hypersensitivity; Hypertension; Hyperventilation; Hypoaesthesia; Hypotension; Mediastinal disorder; Myocardial infarction; Nasal congestion; Nausea; Nervousness; Pain; Palpitations; Paraesthesia; Supraventricular extrasystoles; Scotoma; Convulsion; Shock; Sinoatrial block; Cerebrovascular accident; Syncope; Tachycardia; Sinus tachycardia; Tinnitus; Torsade de pointes; Tremor; Loss of consciousness; Pollakiuria; Urticaria; Ventricular fibrillation; Ventricular tachycardia; Vomiting; Dry mouth; Micturition urgency; Ventricular arrhythmia; Atrioventricular block first degree; Burning sensation; Agitation; Mood swings; Atrioventricular block complete; Ventricular extrasystoles; Haemorrhage intracranial; Injection site reaction; Intracranial pressure increased; Myocardial ischaemia; Respiratory arrest; Abdominal discomfort; Affect lability; Tension; Discomfort; Chest discomfort; Throat tightness; Atrioventricular block second degree; Sensory loss; Extrasystoles; Vision blurred; Bradycardia; Blood pressure increased; Electrocardiogram ST segment elevation; Electrocardiogram ST segment depression; Sinus arrest; Limb discomfort; Acute coronary syndrome; Ear discomfort; Musculoskeletal discomfort; Respiratory failure; Coronary artery disease; Device capturing issue; Somnolence
206,glucose,https://pubchem.ncbi.nlm.nih.gov/compound/206,38,C(C1C(C(C(C(O1)O)O)O)O)O,Abscess; Acidosis; Asthenia; Coma; Confusional state; Dehydration; Dizziness; Oedema; Extravasation; Body temperature increased; Headache; Cardiac failure congestive; Haemolysis; Hypernatraemia; Hypertension; Hypokalaemia; Irritability; Necrosis; Nervous system disorder; Pain; Phlebitis; Pulmonary embolism; Convulsion; Shock; Salivary hypersecretion; Tachycardia; Thirst; Thrombophlebitis; Loss of consciousness; Venous thrombosis; Agitation; Lacrimation increased; Tenderness; Fluid retention; Fluid overload; Respiratory failure; Feeling abnormal; Somnolence
214,PGE1,https://pubchem.ncbi.nlm.nih.gov/compound/214,165,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O,Abdominal pain; Anaemia; Hypochromic anaemia; Anuria; Apnoea; Asthenia; Back pain; Balanitis; Bronchitis; Infection; Cough; Dermatitis; Diabetes mellitus; Diarrhoea; Joint dislocation; Disseminated intravascular coagulation; Dizziness; Dyspepsia; Ecchymosis; Oedema; Rash; Body temperature increased; Fibrosis; Flushing; Multiple fractures; Fracture; Headache; Cardiac arrest; Cardiac failure congestive; Haematoma; Haematuria; Haemorrhage; Inguinal hernia; Hyperbilirubinaemia; Hypercapnia; Hypercholesterolaemia; Hyperaemia; Hyperglycaemia; Hyperhidrosis; Hyperkalaemia; Hypertension; Hypertriglyceridaemia; Hypertrophy; Hypoaesthesia; Hypoglycaemia; Hypokalaemia; Hypotension; Body temperature decreased; Influenza; Lethargy; Microcephaly; Fungal infection; Mydriasis; Myocardial infarction; Nasal congestion; Nausea; Nervousness; Nodule; Pain; Pain in extremity; Pelvic pain; Penis disorder; Peyronie's disease; Peritonitis; Pharyngitis; Pneumopericardium; Pneumothorax; Supraventricular extrasystoles; Priapism; Prostatic disorder; Prostatitis; Pruritus; Renal failure; Rhinitis; Convulsion; Shock; Sinusitis; Skin disorder; Neoplasm skin; Muscle spasms; Spermatocele; Swelling; Syncope; Tachycardia; Supraventricular tachycardia; Tachyphylaxis; Testicular disorder; Testicular pain; Thrombocytopenia; Loss of consciousness; Erythema; Upper respiratory tract infection; Urethral disorder; Pollakiuria; Urinary tract infection; Ventricular fibrillation; Wheezing; Laceration; Dry mouth; Peripheral vascular disorder; Micturition urgency; Burning sensation; Injection site swelling; Scrotal oedema; Injection site haemorrhage; Haemorrhage intracranial; Injection site inflammation; Injection site reaction; Injection site pain; Penile oedema; Hypertrophic osteoarthropathy; Joint hyperextension; Tachypnoea; Respiratory rate decreased; Painful erection; Discomfort; Respiratory depression; Blood creatinine increased; Ejaculation disorder; Perineal pain; Urethral haemorrhage; Sepsis; Atrioventricular block second degree; Congenital absence of bile ducts; Scrotal disorder; Sensory loss; Ventricular hypertrophy; Phimosis; Hypothermia; Bradycardia; Respiratory distress; Penile pain; Haemoglobin; Tooth abscess; Application site pain; Injection site bruising; Influenza like illness; Drug effect decreased; Electrocardiogram abnormal; Erection increased; Injection site haematoma; Feeling jittery; Drug ineffective; Injection site pruritus; Blood triglycerides increased; Application site pruritus; Local reaction; Pulmonary function test decreased; Instillation site pain; Carbon dioxide increased; Peritonsillitis; Acute coronary syndrome; Musculoskeletal stiffness; Vasodilation procedure; Feeling abnormal; Device malfunction; Partner stress; Vulvovaginal burning sensation; Regurgitation; Cerebral haemorrhage; Penile curvature; Penile haematoma; Feeling hot; Injury; Visual impairment
222,ammonia,https://pubchem.ncbi.nlm.nih.gov/compound/222,7,N,Infection; Extravasation; Body temperature increased; Pain; Phlebitis; Venous thrombosis; Fluid overload
232,arginine,https://pubchem.ncbi.nlm.nih.gov/compound/232,30,C(CC(C(=O)O)N)CN=C(N)N,Anaphylactic shock; Sickle cell anaemia; Choking; Dermatitis; Rash; Extravasation; Flushing; Headache; Haematuria; Hyperhidrosis; Hypersensitivity; Hypoaesthesia; Lethargy; Nasal obstruction; Nausea; Necrosis; Swelling; Tachycardia; Vomiting; Injection site reaction; Skin necrosis; Rash macular; Decreased appetite; Skin exfoliation; Sensory loss; Platelet count decreased; Paraesthesia oral; Surgery; Phlebitis superficial; Brain oedema
244,benzyl,https://pubchem.ncbi.nlm.nih.gov/compound/244,21,C1=CC=C(C=C1)CO,Dermatitis; Oedema; Rash; Excoriation; Hypoaesthesia; Pain; Paraesthesia; Pruritus; Pyoderma; Seborrhoeic dermatitis; Erythema; Dandruff; Application site anaesthesia; Eye irritation; Skin exfoliation; Application site irritation; Application site rash; Thermal burn; Application site dryness; Dermatitis infected; Application site erosion
247,betaine,https://pubchem.ncbi.nlm.nih.gov/compound/247,28,C[N+](C)(C)CC(=O)[O-],Alopecia; Mental disorder; Diarrhoea; Dysgeusia; Gastrointestinal disorder; Glossitis; Headache; Homocystinuria; Irritability; Nausea; Nervous system disorder; Personality disorder; Skin disorder; Tooth disorder; Urethral disorder; Urinary incontinence; Urinary tract disorder; Urticaria; Vomiting; Agitation; Malnutrition; Decreased appetite; Abdominal discomfort; Skin odour abnormal; Hypermethioninaemia; Aspiration; Sleep disorder; Brain oedema
271,calcium,https://pubchem.ncbi.nlm.nih.gov/compound/271,33,[Ca+2],Abscess; Arrhythmia; Asthenia; Calcinosis; Coma; Confusional state; Constipation; Delirium; Diarrhoea; Dizziness; Dysgeusia; Oedema; Cardiac arrest; Hypercalcaemia; Hypersensitivity; Hypotension; Nausea; Necrosis; Paraesthesia; Pruritus; Shock; Syncope; Loss of consciousness; Vomiting; Vasospasm; Stupor; Decreased appetite; Bradycardia; Sense of oppression; Depressed level of consciousness; Vasodilatation; Vasodilation procedure; Feeling abnormal
297,graphene,https://pubchem.ncbi.nlm.nih.gov/compound/297,5,C,Obliterative bronchiolitis; Dehydration; Intestinal obstruction; Gastrointestinal obstruction; Obstructive airways disorder
298,chloramphenicol,https://pubchem.ncbi.nlm.nih.gov/compound/298,52,C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],Abdominal distension; Agranulocytosis; Anaphylactic shock; Aplastic anaemia; Angioedema; Confusional state; Cyanosis; Delirium; Dermatitis; Diarrhoea; Endophthalmitis; Enterocolitis; Rash; Eye disorder; Body temperature increased; Gastrointestinal disorder; Glossitis; Headache; Blood disorder; Hypersensitivity; Immune system disorder; Leukaemia; Leukopenia; Paroxysmal nocturnal haemoglobinuria; Nausea; Nervous system disorder; Neuritis; Pain; Pancytopenia; Neuropathy peripheral; Pruritus; Respiratory disorder; Shock; Skin disorder; Stomatitis; Thrombocytopenia; Typhoid fever; Urticaria; Vomiting; Burning sensation; Ocular hyperaemia; Hypoplastic anaemia; Rash vesicular; Eye irritation; Jarisch-Herxheimer reaction; Grey syndrome neonatal; Eye swelling; Rash maculo-papular; Drug interaction; Reaction to drug excipients; Feeling abnormal; Conjunctival hyperaemia
